"Breed","height_low_m","height_high_m","weight_low_kg","weight_high_kg","height_avg","weight_avg","bmi_low","bmi_avg","bmi_high"
"Akita",0.6604,0.7112,36.28736,54.43104,0.6858,45.3592,83.2034326790547,96.4429363700977,107.612602980308
"Anatolian Sheepdog",0.6858,0.7366,45.3592,68.0388,0.7112,56.699,96.4429363700977,112.096461437821,125.398752581096
"Bernese Mountain Dog",0.5842,0.6858,38.55532,49.89512,0.635,44.22522,112.969500041079,109.67876495753,106.087230007107
"Bloodhound",0.6096,0.6604,36.28736,54.43104,0.635,45.3592,97.648473074724,112.491040982082,124.805149018582
"Borzoi",0.6604,0.7112,31.75144,45.3592,0.6858,38.55532,72.8030035941729,81.9764959145831,89.6771691502567
"Bullmastiff",0.635,0.6858,45.3592,58.96696,0.6604,52.16308,112.491040982082,119.604934476141,125.375817281127
"Great Dane",0.8128,0.8128,54.43104,72.57472,0.8128,63.50288,82.3908991567983,96.1227156829314,109.854532209064
"Great Pyrenees",0.6858,0.8128,43.09124,54.43104,0.7493,48.76114,91.6207895515928,86.8485126800762,82.3908991567983
"Great Swiss Mountain Dog",0.5842,0.7112,58.96696,68.0388,0.6477,63.50288,172.776882415769,151.372027465316,134.515753725385
"Irish Wolfhound",0.7112,0.889,40.82328,68.0388,0.8001,54.43104,80.709452235231,85.0272418609841,86.0900823842464
"Kuvasz",0.7112,0.762,31.75144,54.43104,0.7366,43.09124,62.7740184051797,79.4192099680276,93.742534151735
"Mastiff",0.6858,0.762,79.3786,86.18248,0.7239,82.78054,168.775138647671,157.968720985149,148.42567907358
"Neopolitan Mastiff",0.6096,0.762,45.3592,68.0388,0.6858,56.699,122.060591343405,120.553670462622,117.178167689669
"Newfoundland",0.6604,0.7112,45.3592,68.0388,0.6858,56.699,104.004290848818,120.553670462622,134.515753725385
"Otter Hound",0.6096,0.6604,29.48348,49.89512,0.635,39.6893,79.3393843732132,98.4296608593217,114.4047199337
"Rottweiler",0.5588,0.6858,40.82328,49.89512,0.6223,45.3592,130.735972215746,117.12936378809,106.087230007107
